Game,Min,Max ,Play Time,Complexity,Tags,Expansions,Favorite,Easy to Learn,Bluffing,Card,Co-op,Dexterity,Family,Laughter,Luck,Party,Strategy,Trivia,Words,Tags
Love Letter,2,4,medium,casual,"Easy to Learn, Bluffing", ,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Bluffing, "
Mad Quao,3,8,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Mariposas,2,5,long,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Marrying Mr. Darcy,2,6,long,casual,"Card, Luck, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Card, Luck, Strategy, "
Martian Chess,2,2,short,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Mastermind,2,2,short,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Match Madness,1,4,short,complex,"Easy to Learn, Dexterity, Strategy", ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Easy to Learn, Dexterity, Strategy, "
Monopoly,2,6,long,casual,"Family, Luck, Strategy","Vintage, Zelda, Deal, Animal Crossing ",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Family, Luck, Strategy, "
Not So Neighborly,2,4,short,casual,"Card, Party", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Card, Party, "
On a Scale of One to T-Rex,2,8,medium,simple,"Laughter, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
One Night Ultimate ,3,10,short,casual,Bluffing,"Werewolf, Vampire",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bluffing, "
Over Under,2,30,short,simple,"Easy to Learn, Luck", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Luck, "
Pac-Man,2,5,medium,casual,"Co-op, Family, Luck, Strategy", ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Co-op, Family, Luck, Strategy, "
Pandemic,2,4,long,casual,"Co-op, Strategy", ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Co-op, Strategy, "
Phase 10,2,6,medium,casual,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Photosynthesis,2,4,medium,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Pictionary,3,16,medium,simple,"Family, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Family, Party, "
Pokémon Labyrinth ,2,4,medium,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Punderdome,3,12,medium,complex,"Laughter, Words", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,"Laughter, Words, "
Quelf,3,8,long,casual,"Laughter, Party",Quelf Antics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
Quixx,2,5,short,casual,"Family, Party, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Family, Party, Strategy, "
Racko,2,4,short,casual,"Easy to Learn, Card, Family, Luck", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Family, Luck, "
Red Dragon Inn,2,5,medium,casual,"Favorite, Card, Laughter, Luck, Party, Strategy","#1, Erin",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Favorite, Card, Laughter, Luck, Party, Strategy, "
Red7,2,4,short,complex,"Favorite, Card, Luck, Strategy", ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Favorite, Card, Luck, Strategy, "
Risk,2,6,long,casual,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Rook,2,6,medium,complex,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Rotten Apples,2,10,medium,simple,"Card, Family, Laughter, Party", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Card, Family, Laughter, Party, "
Rubik's Battle,2,6,short,casual,Dexterity, ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dexterity, "
Rubik's Race,2,2,short,casual,Dexterity, ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dexterity, "
Rummikub,2,4,medium,casual,"Family, Luck", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Family, Luck, "
Say Anything,3,8,medium,simple,Words, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Words, "
Schrödinger's Cats,2,6,short,casual,"Bluffing, Card, Family", ,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bluffing, Card, Family, "
Scrabble,2,4,medium,casual,"Easy to Learn, Family, Words", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Easy to Learn, Family, Words, "
Secret Hitler,5,10,long,complex,"Favorite, Bluffing", ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, Bluffing, "
Sequence,2,6,medium,casual,"Easy to Learn, Family, Luck",Jumbo Sequence,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Family, Luck, "
Sheriff of Nottingham ,3,6,medium,casual,Bluffing, ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bluffing, "
Slamwich,2,6,short,simple,"Card, Dexterity", ,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, Dexterity, "
Slide in the DMs,3,12,short,simple,"Card, Laughter, Party, Words", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Card, Laughter, Party, Words, "
Smallworld,2,5,long,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
So Clover,3,6,medium,complex,"Easy to Learn, Co-op, Family, Party, Words", ,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Easy to Learn, Co-op, Family, Party, Words, "
Sorry,2,4,medium,simple,"Easy to Learn, Family, Luck", ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Family, Luck, "
Stratego,2,2,medium,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Sweet Existence,4,8,medium,simple,"Laughter, Luck", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Laughter, Luck, "
Taco Cat Goat Cheese Pizza,3,8,short,simple,"Favorite, Easy to Learn, Card, Dexterity", ,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, Easy to Learn, Card, Dexterity, "
Ten,1,5,medium,casual,"Card, Family, Luck, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Card, Family, Luck, Strategy, "
Terraforming Mars,1,5,long,complex,"Favorite, Strategy",Hellas & Elysium ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Favorite, Strategy, "
The Crew,3,5,long,complex,"Card, Co-op", ,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, Co-op, "
The Worst-Case Scenario Game of Surviving Life,2,4,medium,casual,Words, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Words, "
Throw Throw Burrito,2,6,medium,simple,"Dexterity, Laughter","Kickstarter, Avocado",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Dexterity, Laughter, "
Ticket To Ride,2,5,long,casual,"Favorite, Family, Luck, Strategy","U.S., U.K., Pennsylvania, France, Wild West (up to 6)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"Favorite, Family, Luck, Strategy, "
Town of Salem,5,30,medium,complex,"Bluffing, Laughter, Party",NSFW,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Bluffing, Laughter, Party, "
Trash Pandas,2,4,short,simple,"Card, Family, Luck", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Card, Family, Luck, "
Trial by Trolley,3,13,medium,simple,"Laughter, Party", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Laughter, Party, "
Trivial Pursuit,2,6,long,complex,"Card, Family, Trivia, Words", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Card, Family, Trivia, Words, "
Unexploded Cow,2,6,medium,casual,"Laughter, Strategy", ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Laughter, Strategy, "
Uno,2,10,short,simple,"Easy to Learn, Card, Party","Dos, Zelda",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Party, "
Unstable Unicorns,2,8,medium,simple,Card, ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Card, "
Upwords,1,4,medium,complex,Words, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Words, "
Villainous,2,6,long,complex,Strategy, ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Strategy, "
Wavelength,2,12,medium,casual,"Co-op, Family, Laughter, Party, Words", ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,"Co-op, Family, Laughter, Party, Words, "
We Didn't Playtest This At All,2,10,short,simple,"Easy to Learn, Card, Party", ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Easy to Learn, Card, Party, "
Werewords,4,10,short,complex,"Easy to Learn, Bluffing, Co-op, Laughter, Party, Strategy", ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Easy to Learn, Bluffing, Co-op, Laughter, Party, Strategy, "
Wingspan,1,5,long,casual,Favorite,"European, Oceania",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Favorite, "
Wits & Wagers,4,7,medium,simple,"Favorite, Easy to Learn, Family, Party, Trivia", ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"Favorite, Easy to Learn, Family, Party, Trivia, "
Wizard,3,6,medium,casual,"Card, Strategy", ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Card, Strategy, "
Yahtzee,2,12,medium,casual,"Easy to Learn, Family, Luck",Hands Down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Easy to Learn, Family, Luck, "
